id./;steamID./;name./;price./;short_descritiption./;genres./;publishers./;roda_linux./;release_date
0./;10./;Counter-Strike./;9.99./;Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role../;Valve./;Action./;Sim./;1/11/2000
1./;20./;Team Fortress Classic./;4.99./;One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes../;Valve./;Action./;Sim./;1/4/1999
2./;30./;Day of Defeat./;4.99./;Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations../;Valve./;Action./;Sim./;1/5/2003
3./;40./;Deathmatch Classic./;4.99./;Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings../;Valve./;Action./;Sim./;1/6/2001
4./;50./;Half-Life: Opposing Force./;4.99./;Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences../;Valve./;Action./;Sim./;1/11/1999
5./;60./;Ricochet./;4.99./;A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas../;Valve./;Action./;Sim./;1/11/2000
6./;70./;Half-Life./;9.99./;Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world../;Valve./;Action./;Sim./;8/11/1998
7./;80./;Counter-Strike: Condition Zero./;9.99./;With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content../;Valve./;Action./;Sim./;1/3/2004
8./;100./;Counter-Strike: Condition Zero./;9.99./;With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content../;Valve./;Action./;Sim./;1/3/2004
9./;130./;Half-Life: Blue Shift./;4.99./;Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations../;Valve./;Action./;Sim./;1/6/2001
