id,steamID,name,price,short_descritiption,genres[],publishers[],release_date
0,30,Day of Defeat,4.99,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.",[Valve],[Action],1/5/2003
1,300,Day of Defeat: Source,9.99,"Valve's WWII Multiplayer Classic - Now available for Mac.",[Valve],[Action],12/7/2010
2,420,Half-Life 2: Episode Two,7.99,"Half-Life&reg; 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life&reg; adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions.",[Valve],[Action],10/10/2007
3,1530,Multiwinia,9.99,"'Long ago a computer scientist called Dr Sepulveda created a beautiful digital world existing entirely within a computer network of his own invention. This world was called Darwinia and it was inhabited by a peaceful, law-abiding digital life-form called the Darwinians.",[Introversion Software],[Indie],19/9/2008
4,1600,Dangerous Waters,2.99,"S.C.S. - Dangerous Waters allows you total control over multiple air, surface, and submarine platforms in a modern-day naval environment. Take direct control of individual crew stations and also plan and execute combined arms naval strategies from a top-down 'Commanders Eye' perspective.",[Strategy First],[Strategy],7/2/2006
5,1700,Arx Fatalis,4.99,"This critically acclaimed first-person RPG from Arkane Studios takes the player on an amazing journey into the fantasy world of Arx. Arx is wrought with turmoil, brought to the brink of destruction by a violent war.",[Arkane Studios],[RPG],3/4/2007
6,1900,Earth 2160,1.49,"After the destruction of the EARTH in 2150, the leaders of the Eurasian Dynasty escaped on board an evacuation fleet. Now they are fighting for the survival of the human species. Their base is one large building comprising of smaller variable parts.",[Topware Interactive/ACE],[Strategy],1/4/2006
7,1930,Two Worlds Epic Edition,2.49,"... 300 years after Aziraal has been banished, a brother and sister are drawn into the conflict which has flared up between the Orcs and the free world. Kyra, the hero's younger sister, suddenly disappears in mysterious circumstances.«...If my family really belongs to the chosen ones, why then have we always been as poor as church mice?",[Topware Interactive],[RPG],30/4/2009
8,2280,Ultimate Doom,4.99,"The complete megahit game that set the world afire. Plus All-New Episode IV: Thy Flesh Consumed. The demons came and the marines died. Except one. You are the last defense against these hell-spawned hordes. Prepare for the most intense mutant-laden, blood-splattered action ever!",[id Software],[Action],3/8/2007
9,2320,QUAKE II,4.99,"Shortly after landing on an alien surface, you learn that hundreds of your men have been reduced to just a few. Now you must fight your way through heavily fortified military installations, lower the city's defenses and shut down the enemy's war machine. Only then will the fate of humanity be known.",[id Software],[Action],3/8/2007
